movieId,title,genres,cluster
1,Toy Story (1995),"['A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'A', 'n', 'i', 'm', 'a', 't', 'i', 'o', 'n', '|', 'C', 'h', 'i', 'l', 'd', 'r', 'e', 'n', '|', 'C', 'o', 'm', 'e', 'd', 'y', '|', 'F', 'a', 'n', 't', 'a', 's', 'y']",7
2,Jumanji (1995),"['A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'C', 'h', 'i', 'l', 'd', 'r', 'e', 'n', '|', 'F', 'a', 'n', 't', 'a', 's', 'y']",2
3,Grumpier Old Men (1995),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",7
4,Waiting to Exhale (1995),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",1
5,Father of the Bride Part II (1995),"['C', 'o', 'm', 'e', 'd', 'y']",2
6,Heat (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'C', 'r', 'i', 'm', 'e', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",8
7,Sabrina (1995),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",8
8,Tom and Huck (1995),"['A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'C', 'h', 'i', 'l', 'd', 'r', 'e', 'n']",8
9,Sudden Death (1995),"['A', 'c', 't', 'i', 'o', 'n']",6
10,GoldenEye (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",9
11,"American President, The (1995)","['C', 'o', 'm', 'e', 'd', 'y', '|', 'D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",3
12,Dracula: Dead and Loving It (1995),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'H', 'o', 'r', 'r', 'o', 'r']",1
13,Balto (1995),"['A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'A', 'n', 'i', 'm', 'a', 't', 'i', 'o', 'n', '|', 'C', 'h', 'i', 'l', 'd', 'r', 'e', 'n']",9
14,Nixon (1995),"['D', 'r', 'a', 'm', 'a']",9
15,Cutthroat Island (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",9
16,Casino (1995),"['C', 'r', 'i', 'm', 'e', '|', 'D', 'r', 'a', 'm', 'a']",4
17,Sense and Sensibility (1995),"['D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",2
18,Four Rooms (1995),"['C', 'o', 'm', 'e', 'd', 'y']",2
19,Ace Ventura: When Nature Calls (1995),"['C', 'o', 'm', 'e', 'd', 'y']",2
20,Money Train (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'C', 'o', 'm', 'e', 'd', 'y', '|', 'C', 'r', 'i', 'm', 'e', '|', 'D', 'r', 'a', 'm', 'a', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",2
21,Get Shorty (1995),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'C', 'r', 'i', 'm', 'e', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",2
22,Copycat (1995),"['C', 'r', 'i', 'm', 'e', '|', 'D', 'r', 'a', 'm', 'a', '|', 'H', 'o', 'r', 'r', 'o', 'r', '|', 'M', 'y', 's', 't', 'e', 'r', 'y', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",2
23,Assassins (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'C', 'r', 'i', 'm', 'e', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",7
24,Powder (1995),"['D', 'r', 'a', 'm', 'a', '|', 'S', 'c', 'i', '-', 'F', 'i']",2
25,Leaving Las Vegas (1995),"['D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",7
26,Othello (1995),"['D', 'r', 'a', 'm', 'a']",7
27,Now and Then (1995),"['C', 'h', 'i', 'l', 'd', 'r', 'e', 'n', '|', 'D', 'r', 'a', 'm', 'a']",7
28,Persuasion (1995),"['D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",7
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","['A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'D', 'r', 'a', 'm', 'a', '|', 'F', 'a', 'n', 't', 'a', 's', 'y', '|', 'M', 'y', 's', 't', 'e', 'r', 'y', '|', 'S', 'c', 'i', '-', 'F', 'i']",7
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"['C', 'r', 'i', 'm', 'e', '|', 'D', 'r', 'a', 'm', 'a']",2
31,Dangerous Minds (1995),"['D', 'r', 'a', 'm', 'a']",7
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"['M', 'y', 's', 't', 'e', 'r', 'y', '|', 'S', 'c', 'i', '-', 'F', 'i', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",7
33,Wings of Courage (1995),"['A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e', '|', 'I', 'M', 'A', 'X']",7
34,Babe (1995),"['C', 'h', 'i', 'l', 'd', 'r', 'e', 'n', '|', 'D', 'r', 'a', 'm', 'a']",2
35,Carrington (1995),"['D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",7
36,Dead Man Walking (1995),"['C', 'r', 'i', 'm', 'e', '|', 'D', 'r', 'a', 'm', 'a']",7
37,Across the Sea of Time (1995),"['D', 'o', 'c', 'u', 'm', 'e', 'n', 't', 'a', 'r', 'y', '|', 'I', 'M', 'A', 'X']",7
38,It Takes Two (1995),"['C', 'h', 'i', 'l', 'd', 'r', 'e', 'n', '|', 'C', 'o', 'm', 'e', 'd', 'y']",7
39,Clueless (1995),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",7
40,"Cry, the Beloved Country (1995)","['D', 'r', 'a', 'm', 'a']",7
41,Richard III (1995),"['D', 'r', 'a', 'm', 'a', '|', 'W', 'a', 'r']",7
42,Dead Presidents (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'C', 'r', 'i', 'm', 'e', '|', 'D', 'r', 'a', 'm', 'a']",7
43,Restoration (1995),"['D', 'r', 'a', 'm', 'a']",7
44,Mortal Kombat (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'F', 'a', 'n', 't', 'a', 's', 'y']",7
45,To Die For (1995),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'D', 'r', 'a', 'm', 'a', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",2
46,How to Make an American Quilt (1995),"['D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",2
47,Seven (a.k.a. Se7en) (1995),"['M', 'y', 's', 't', 'e', 'r', 'y', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",7
48,Pocahontas (1995),"['A', 'n', 'i', 'm', 'a', 't', 'i', 'o', 'n', '|', 'C', 'h', 'i', 'l', 'd', 'r', 'e', 'n', '|', 'D', 'r', 'a', 'm', 'a', '|', 'M', 'u', 's', 'i', 'c', 'a', 'l', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",2
49,When Night Is Falling (1995),"['D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",7
50,"Usual Suspects, The (1995)","['C', 'r', 'i', 'm', 'e', '|', 'M', 'y', 's', 't', 'e', 'r', 'y', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",2
52,Mighty Aphrodite (1995),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",7
53,Lamerica (1994),"['A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'D', 'r', 'a', 'm', 'a']",7
54,"Big Green, The (1995)","['C', 'h', 'i', 'l', 'd', 'r', 'e', 'n', '|', 'C', 'o', 'm', 'e', 'd', 'y']",7
55,Georgia (1995),"['D', 'r', 'a', 'm', 'a']",2
57,Home for the Holidays (1995),"['D', 'r', 'a', 'm', 'a']",2
58,"Postman, The (Postino, Il) (1994)","['C', 'o', 'm', 'e', 'd', 'y', '|', 'D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",7
59,"Confessional, The (Confessionnal, Le) (1995)","['D', 'r', 'a', 'm', 'a', '|', 'M', 'y', 's', 't', 'e', 'r', 'y']",7
60,"Indian in the Cupboard, The (1995)","['A', 'd', 'v', 'e', 'n', 't', 'u', 'r', 'e', '|', 'C', 'h', 'i', 'l', 'd', 'r', 'e', 'n', '|', 'F', 'a', 'n', 't', 'a', 's', 'y']",2
61,Eye for an Eye (1996),"['D', 'r', 'a', 'm', 'a', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",2
62,Mr. Holland's Opus (1995),"['D', 'r', 'a', 'm', 'a']",2
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'C', 'r', 'i', 'm', 'e']",2
64,Two if by Sea (1996),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",0
65,Bio-Dome (1996),"['C', 'o', 'm', 'e', 'd', 'y']",0
66,Lawnmower Man 2: Beyond Cyberspace (1996),"['A', 'c', 't', 'i', 'o', 'n', '|', 'S', 'c', 'i', '-', 'F', 'i', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",0
67,Two Bits (1995),"['D', 'r', 'a', 'm', 'a']",0
68,French Twist (Gazon maudit) (1995),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",0
69,Friday (1995),"['C', 'o', 'm', 'e', 'd', 'y']",8
70,From Dusk Till Dawn (1996),"['A', 'c', 't', 'i', 'o', 'n', '|', 'C', 'o', 'm', 'e', 'd', 'y', '|', 'H', 'o', 'r', 'r', 'o', 'r', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",8
71,Fair Game (1995),"['A', 'c', 't', 'i', 'o', 'n']",8
72,Kicking and Screaming (1995),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'D', 'r', 'a', 'm', 'a']",8
73,"Misérables, Les (1995)","['D', 'r', 'a', 'm', 'a', '|', 'W', 'a', 'r']",8
74,Bed of Roses (1996),"['D', 'r', 'a', 'm', 'a', '|', 'R', 'o', 'm', 'a', 'n', 'c', 'e']",8
75,Big Bully (1996),"['C', 'o', 'm', 'e', 'd', 'y', '|', 'D', 'r', 'a', 'm', 'a']",8
76,Screamers (1995),"['A', 'c', 't', 'i', 'o', 'n', '|', 'S', 'c', 'i', '-', 'F', 'i', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",8
77,Nico Icon (1995),"['D', 'o', 'c', 'u', 'm', 'e', 'n', 't', 'a', 'r', 'y']",8
78,"Crossing Guard, The (1995)","['A', 'c', 't', 'i', 'o', 'n', '|', 'C', 'r', 'i', 'm', 'e', '|', 'D', 'r', 'a', 'm', 'a', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",8
79,"Juror, The (1996)","['D', 'r', 'a', 'm', 'a', '|', 'T', 'h', 'r', 'i', 'l', 'l', 'e', 'r']",3
