Model,Silhouette,Calinski-Harabasz Score,Davies-Bouldin Score,eps,min_samples,num_clusters,error,n_clusters,Rank,Silhouette_Rank,CH_Rank,DB_Rank,Avg_Rank
KMeans,0.6377345323562622,590079.375,0.465573455535455,,,,,,1,1.5,15.5,11.5,9.5
KMeans,0.6377345323562622,590079.375,0.465573455535455,,,,,,1,1.5,15.5,11.5,9.5
DBSCAN,0.0283103343099355,1405968640.0,0.0481258902252554,1.3,1.0,32437.0,,,3,27.0,1.0,1.0,9.666666666666666
DBSCAN,0.0411479733884334,140032480.0,0.0494881073126776,1.9,1.0,27430.0,,,4,24.0,4.0,2.0,10.0
DBSCAN,0.0295990779995918,1142249088.0,0.0507997126885876,1.5,1.0,32228.0,,,5,26.0,2.0,3.0,10.333333333333334
DBSCAN,0.0297566652297973,1110522624.0,0.0519826438052715,1.7,1.0,32153.0,,,6,25.0,3.0,4.0,10.666666666666666
Hierarchical,0.6184899210929871,655683.1875,0.4658236333469139,,,10.0,,10.0,8,6.0,14.0,13.0,11.0
DBSCAN,0.083386555314064,13077666.0,0.1385736384248842,2.3,1.0,22996.0,,,8,21.0,6.0,6.0,11.0
DBSCAN,0.0600306317210197,43640132.0,0.1275237984969527,2.1,1.0,24352.0,,,8,23.0,5.0,5.0,11.0
DBSCAN,0.1275780946016311,2412104.5,0.2428936423266874,2.5,1.0,17804.0,,,10,20.0,8.0,7.0,11.666666666666666
Hierarchical,0.5608763098716736,1266819.125,0.4853098028839556,,,20.0,,20.0,11,7.0,12.0,17.0,12.0
Hierarchical,0.630364179611206,315728.28125,0.4674097489622662,,,5.0,,5.0,12,3.0,20.0,14.0,12.333333333333334
MiniBatchKMeans,0.6242272853851318,475212.34375,0.4833614500049605,,,,,,13,4.5,17.5,15.5,12.5
MiniBatchKMeans,0.6242272853851318,475212.34375,0.4833614500049605,,,,,,13,4.5,17.5,15.5,12.5
Hierarchical,0.5483039021492004,1604963.5,0.4922580177762439,,,25.0,,25.0,15,9.0,11.0,18.0,12.666666666666666
Hierarchical,0.528938353061676,2592942.75,0.5001448922331357,,,40.0,,40.0,16,10.0,7.0,22.0,13.0
Hierarchical,0.5271594524383545,1841663.0,0.4950797591019704,,,30.0,,30.0,17,11.0,10.0,19.0,13.333333333333334
Hierarchical,0.5223143696784973,2189605.0,0.4987499234713432,,,35.0,,35.0,18,12.0,9.0,21.0,14.0
Hierarchical,0.5579091310501099,956846.4375,0.5003791976000206,,,15.0,,15.0,19,8.0,13.0,23.0,14.666666666666666
DBSCAN,0.320654422044754,308.5537414550781,0.4624205998274459,3.0,5.0,201.0,,,20,13.0,22.0,10.0,15.0
DBSCAN,0.1854680478572845,438542.0625,0.2724395392623873,2.7,1.0,14041.0,,,20,18.0,19.0,8.0,15.0
DBSCAN,0.206298828125,20409.10546875,0.2825319844530484,3.0,1.0,11998.0,,,22,17.0,21.0,9.0,15.666666666666666
DBSCAN,0.2948128879070282,153.8711395263672,0.4973351670025284,2.7,5.0,358.0,,,23,14.0,23.0,20.0,19.0
DBSCAN,0.2388309836387634,41.30970764160156,0.5329639744227098,2.5,5.0,726.0,,,24,16.0,30.0,24.0,23.333333333333332
DBSCAN,0.2746293842792511,33.41276931762695,0.5435666823168449,1.9,3.0,1109.0,,,25,15.0,32.0,26.0,24.333333333333332
DBSCAN,0.1415860801935196,52.39966583251953,5.785047395170842,3.0,2.0,5223.0,,,26,19.0,28.0,41.0,29.333333333333332
DBSCAN,-0.0477293469011783,61.53504943847656,4.245476871830688,3.0,3.0,2827.0,,,27,31.0,25.0,39.0,31.666666666666668
DBSCAN,-0.0261500515043735,14.94778537750244,0.5787868418248678,2.3,5.0,278.0,,,27,28.0,37.0,30.0,31.666666666666668
DBSCAN,0.0749323666095733,40.63683319091797,8.33204513814672,2.7,2.0,5250.0,,,29,22.0,31.0,43.0,32.0
DBSCAN,-0.2399698495864868,31.714265823364254,0.5696610191393844,1.9,2.0,1545.0,,,30,36.0,34.0,29.0,33.0
DBSCAN,-0.1412905901670456,54.94501495361328,4.185600263401042,2.7,3.0,2576.0,,,31,35.0,27.0,38.0,33.333333333333336
DBSCAN,-0.0368969067931175,8.781865119934082,0.5918705200309232,1.7,3.0,404.0,,,31,29.0,39.0,32.0,33.333333333333336
DBSCAN,-0.0482710041105747,13.191603660583496,0.5912438876065623,2.1,5.0,215.0,,,33,32.0,38.0,31.0,33.666666666666664
DBSCAN,-0.5782483816146851,74.33787536621094,1.6556465060681689,2.3,3.0,954.0,,,34,43.0,24.0,36.0,34.333333333333336
DBSCAN,-0.0433010756969451,8.728972434997559,0.5936477991124114,1.5,3.0,378.0,,,34,30.0,40.0,33.0,34.333333333333336
DBSCAN,-0.6130201816558838,55.49245834350586,1.303985724184323,2.1,3.0,1016.0,,,36,44.0,26.0,35.0,35.0
DBSCAN,-0.3461734354496002,51.4497184753418,5.449093711201252,2.5,3.0,1890.0,,,37,37.0,29.0,40.0,35.333333333333336
DBSCAN,-0.4807055294513702,6.590537071228027,0.542175554121716,1.7,2.0,1264.0,,,38,40.0,42.0,25.0,35.666666666666664
DBSCAN,-0.0569096207618713,8.329728126525879,0.599524218505104,1.3,3.0,331.0,,,39,33.0,41.0,34.0,36.0
DBSCAN,-0.4072944521903991,31.73478126525879,3.9272013881903742,2.3,2.0,2761.0,,,39,38.0,33.0,37.0,36.0
DBSCAN,-0.0897895544767379,28.25981330871582,6.296245988386861,2.5,2.0,4860.0,,,41,34.0,35.0,42.0,37.0
DBSCAN,-0.4859124720096588,6.456303119659424,0.5449623382032011,1.5,2.0,1241.0,,,41,41.0,43.0,27.0,37.0
DBSCAN,-0.5012370944023132,6.089313507080078,0.5556297442637533,1.3,2.0,1161.0,,,43,42.0,44.0,28.0,38.0
DBSCAN,-0.4748661518096924,27.66420555114746,11.219669931336318,2.1,2.0,2553.0,,,44,39.0,36.0,44.0,39.666666666666664
